,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year
35,34,34,OKC,Jaylin Williams,Arkansas,1,49,914,288,241,76,.436,.407,.704,18.7,5.9,4.9,1.6,1.9,.099,-1.8,0.1,2022
36,35,35,LAL,Max Christie,Michigan State,1,41,512,128,75,21,.415,.419,.875,12.5,3.1,1.8,0.5,0.6,.058,-3.1,-0.1,2022
37,36,36,POR,Gabriele Procida,,,,,,,,,,,,,,,,,,,2022
38,37,37,SAC,Jaden Hardy,,1,48,708,420,89,65,.438,.404,.823,14.8,8.8,1.9,1.4,0.7,.048,-2.3,0.0,2022
39,38,38,SAS,Kennedy Chandler,Tennessee,1,36,281,78,38,58,.422,.133,.462,7.8,2.2,1.1,1.6,0.3,.044,-2.7,0.0,2022
40,39,39,CLE,Khalifa Diop,,,,,,,,,,,,,,,,,,,2022
41,40,40,MIN,Bryce McGowens,Nebraska,1,46,787,246,93,54,.396,.325,.750,17.1,5.3,2.0,1.2,0.1,.005,-6.0,-0.8,2022
42,41,41,NOP,E.J. Liddell,Ohio State,,,,,,,,,,,,,,,,,,2022
43,42,42,NYK,Trevor Keels,Duke,1,3,8,3,2,0,.250,.250,,2.7,1.0,0.7,0.0,0.0,-.062,-13.0,0.0,2022
44,43,43,LAC,Moussa Diabaté,Michigan,1,22,195,59,50,4,.511,.500,.625,8.9,2.7,2.3,0.2,0.4,.105,-2.5,0.0,2022
45,44,44,ATL,Ryan Rollins,Toledo,1,12,62,23,12,6,.350,.333,1.000,5.2,1.9,1.0,0.5,-0.3,-.218,-15.0,-0.2,2022
46,45,45,CHO,Josh Minott,Memphis,1,15,96,46,25,5,.500,.333,1.000,6.4,3.1,1.7,0.3,0.3,.146,-1.6,0.0,2022
47,46,46,DET,Ismael Kamagate,,,,,,,,,,,,,,,,,,,2022
48,47,47,MEM,Vince Williams Jr.,VCU,1,15,105,30,15,4,.300,.143,1.000,7.0,2.0,1.0,0.3,-0.1,-.049,-8.5,-0.2,2022
49,48,48,MIN,Kendall Brown,Baylor,1,6,40,9,6,3,.571,.000,.500,6.7,1.5,1.0,0.5,0.1,.071,-2.9,0.0,2022
50,49,49,CLE,Isaiah Mobley,USC,1,13,84,31,20,3,.429,.375,1.000,6.5,2.4,1.5,0.2,0.2,.135,-1.4,0.0,2022
51,50,50,MIN,Matteo Spagnolo,,,,,,,,,,,,,,,,,,,2022
52,51,51,GSW,Tyrese Martin,UConn,1,16,66,21,12,2,.391,.143,1.000,4.1,1.3,0.8,0.1,0.0,-.010,-7.4,-0.1,2022
53,52,52,NOP,Karlo Matković,,,,,,,,,,,,,,,,,,,2022
54,53,53,BOS,JD Davison,Alabama,1,12,66,19,9,11,.421,.286,.500,5.5,1.6,0.8,0.9,0.1,.059,-4.5,0.0,2022
55,54,54,WAS,Yannick Nzosa,,,,,,,,,,,,,,,,,,,2022
56,55,55,GSW,Gui Santos,,,,,,,,,,,,,,,,,,,2022
57,56,56,CLE,Luke Travers,,,,,,,,,,,,,,,,,,,2022
58,57,57,POR,Jabari Walker,Colorado,1,56,619,216,131,34,.419,.286,.756,11.1,3.9,2.3,0.6,0.2,.015,-6.1,-0.6,2022
59,58,58,IND,Hugo Besson,,,,,,,,,,,,,,,,,,,2022
60,,,,,,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,2022
61,,,,,,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,2022
