,Unnamed: 0,Change,Height,Weight,Pos,School/Team,Class,Year,Player Name
34,35,1.0,6-7,204.0,SG,Union Poitiers Basket 86,1992,2012,Evan Fournier
35,36,1.0,6-10,230.0,PF,Galatasaray,1991,2012,Furkan Aldemir
36,37,10.0,6-7,238.0,SF,Kentucky,Sr.,2012,Darius Miller
37,38,1.0,6-7,215.0,SF,Syracuse,Sr.,2012,Kris Joseph
38,39,1.0,6-6,195.0,SG,Tennessee Tech,Sr.,2012,Kevin Murphy
39,40,4.0,6-6,192.0,SG,Missouri,Sr.,2012,Kim English
40,41,-3.0,6-9,239.0,PF,New Mexico,Sr.,2012,Drew Gordon
41,42,-1.0,6-9,230.0,SF,Olympiacos,1990,2012,Kostas Papanikolaou
42,43,-1.0,6-8,237.0,PF,Virginia,Sr.,2012,Mike Scott
43,44,6.0,6-3,212.0,SG,Marquette,Sr.,2012,Darius Odom
44,45,,6-9,217.0,PF,Alabama,Sr.,2012,Ja Green
45,46,-3.0,6-5,215.0,SG,Ohio St.,Sr.,2012,William Buford
46,47,-1.0,6-8,205.0,SG,Georgetown,Jr.,2012,Hollis Thompson
47,48,,6-7,201.0,PG/SG,Cajasol Sevilla,1991,2012,Tomas Satoransky
48,49,,6-9,217.0,SF,Belgacom Spirou,1991,2012,Tornike Shengelia
49,50,2.0,6-7,251.0,PF,West Virginia,Sr.,2012,Kevin Jones
50,51,,6-8,224.0,PF,Baylor,Sr.,2012,Quincy Acy
51,52,1.0,6-11,260.0,C,Gonzaga,Sr.,2012,Robert Sacre
52,53,8.0,6-5,197.0,SG,Dayton,Sr.,2012,Chris Johnson
53,54,18.0,6-6,216.0,SG/SF,IUPUI,Sr.,2012,Alex Young
54,55,,6-1,205.0,PG,Villanova,Jr.,2012,Maalik Wayns
55,56,,6-11,251.0,C,Georgetown,Sr.,2012,Henry Sims
56,57,,6-10,223.0,PF,UAB,Sr.,2012,Cameron Moore
57,58,1.0,6-10,195.0,SF/PF,Mississippi,Sr.,2012,Terrance Henry
58,59,1.0,7-0,252.0,PF/C,Duke,Sr.,2012,Miles Plumlee
59,60,-2.0,6-3,190.0,PG,UCAM Murcia,1991,2012,Josep Franch
60,61,1.0,6-5,188.0,SG,Temple,Sr.,2012,Ramone Moore
61,62,1.0,7-0,260.0,C,LSU,Jr.,2012,Justin Hamilton
62,63,-9.0,6-3,180.0,PG/SG,Kansas,Sr.,2012,Tyshawn Taylor
63,64,3.0,6-2,205.0,PG,Iona,Sr.,2012,Scott Machado
64,65,1.0,6-10,241.0,PF,Norfolk St.,Sr.,2012,Kyle Quinn
65,66,-2.0,6-6,220.0,SF,Alabama,Jr.,2012,Tony Mitchell
66,67,7.0,6-5,224.0,SF,UC Santa Barbara,Sr.,2012,Orlando Johnson
67,68,-3.0,6-10,230.0,PF,Florida St.,Sr.,2012,Bernard James
68,69,-1.0,6-3,188.0,PG/SG,Missouri,Sr.,2012,Marcus Denmon
69,70,,6-11,266.0,PF,Florida St.,Sr.,2012,Xavier Gibson
70,71,-2.0,6-8,261.0,PF,Seton Hall,Sr.,2012,Herb Pope
71,72,-1.0,6-2,202.0,PG/SG,Texas,Jr.,2012,Covan Brown
72,73,,6-10,235.0,PF,EA7 Milano,1990,2012,Leon Radosevic
73,74,1.0,6-6,241.0,SF/PF,Marquette,Sr.,2012,Jae Crowder
74,75,1.0,6-1,180.0,PG,Oakland,Sr.,2012,Reggie Hamilton
75,76,1.0,6-10,236.0,PF,Galatasaray,1990,2012,Ilkan Karaman
76,77,1.0,6-8,218.0,SF,Purdue,Sr.,2012,Robbie Hummel
77,78,1.0,6-2,180.0,PG,Mississippi St.,Sr.,2012,Dee Bost
78,79,1.0,6-0,187.0,PG,Xavier,Sr.,2012,Tu Holloway
79,80,1.0,6-9,221.0,PF,Buffalo,Sr.,2012,Mitchell Watt
80,81,1.0,6-8,208.0,SG/SF,UNLV,Sr.,2012,Chace Stanback
81,82,1.0,6-9,289.0,PF/C,Cincinnati,Sr.,2012,Yancy Gates
82,83,1.0,6-5,228.0,SF,Fairfield,Sr.,2012,Rakim Sanders
83,84,1.0,6-10,231.0,PF/C,Yale,Sr.,2012,Greg Mangano
84,85,2.0,6-9,258.0,PF,Detroit,Sr.,2012,Eli Holman
85,86,16.0,7-0,230.0,C,Union Olimpija,1992,2012,Alen Omic
86,87,2.0,6-8,244.0,PF,Missouri,Sr.,2012,Ricardo Ratliffe
87,88,2.0,6-6,212.0,SG/SF,VCU,Sr.,2012,Bradford Burgess
88,89,2.0,6-4,216.0,SG,Colorado,Sr.,2012,Carlon Brown
89,90,2.0,7-0,252.0,C,Wichita State,Sr.,2012,Garrett Stutz
90,91,2.0,6-3,190.0,SG,Cincinnati,Sr.,2012,Dion Dixon
91,92,5.0,5-10,170.0,PG,Long Beach State,Sr.,2012,Casper Ware
92,93,2.0,6-4,196.0,SG,USA,Sr.,2012,Charlie Westbrook
93,94,2.0,6-11,265.0,C,Xavier,Sr.,2012,Kenny Frease
94,95,7.0,6-1,170.0,PG,Pennsylvania,Sr.,2012,Zack Rosen
95,96,2.0,6-5,201.0,SG,Old Dominion,Sr.,2012,Kent Bazemore
96,97,2.0,6-5,211.0,SG/SF,Long Beach State,Sr.,2012,Larry Anderson
97,98,2.0,6-8,230.0,PF,Nevada,Sr.,2012,Dario Hunt
98,99,2.0,6-3,183.0,SG,Arizona,Sr.,2012,Kyle Fogg
99,100,2.0,6-3,175.0,SG,,Sr.,2012,Nick Barbour
0,1,1.0,6-5,190.0,SG,Kansas,Fr.,2013,Ben Lemore
1,2,2.0,7-0,230.0,PF/C,Indiana,So.,2013,Cody Zeller
2,3,3.0,6-3,197.0,PG/SG,Lehigh,Sr.,2013,Mc Collum
3,4,-1.0,7-1,255.0,C,Maryland,So.,2013,Alex Len
4,5,2.0,6-4,213.0,SG/SF,Indiana,Jr.,2013,Victor Oladipo
5,6,-1.0,6-11,206.0,PF/C,Kentucky,Fr.,2013,Nerlens Noel
6,7,1.0,6-9,200.0,SF,Georgetown,So.,2013,Otto Porter
7,8,1.0,6-7,240.0,SF/PF,UNLV,Fr.,2013,Anthony Bennett
8,9,4.0,7-0,220.0,PF/C,Estudiantes,1992,2013,Lucas Nogueira
9,10,1.0,6-2,168.0,PG,New Yorker Phantoms Braunschweig,1993,2013,Dennis Schroder
10,11,-1.0,6-1,190.0,PG,Michigan,So.,2013,Trey Burke
11,12,,6-6,205.0,SG,Georgia,So.,2013,Kentavious Pope
12,13,1.0,7-0,255.0,C,Pittsburgh,Fr.,2013,Steven Adams
13,14,1.0,6-6,185.0,PG,Syracuse,So.,2013,Michael Williams
14,15,1.0,6-10,205.0,SF,Filathlitikos,1994,2013,Giannis Adetokoubo
15,16,1.0,6-6,200.0,SG,Michigan,Jr.,2013,Tim Hardaway
16,17,1.0,6-6,225.0,SF,UCLA,Fr.,2013,Shabazz Muhammad
17,18,1.0,7-0,234.0,C,Gonzaga,Jr.,2013,Kelly Olynyk
18,19,1.0,6-9,236.0,SF/PF,North Texas,So.,2013,Tony Mitchell
19,20,1.0,6-7,198.0,SG/SF,New Mexico,Jr.,2013,Tony Snell
20,21,1.0,6-5,196.0,PG,South Dakota St.,Sr.,2013,Nate Wolters
21,22,1.0,6-7,197.0,SG/SF,BC Triumph,1993,2013,Sergey Karasev
22,23,1.0,5-11,171.0,PG,Miami,So.,2013,Shane Larkin
23,24,1.0,6-11,230.0,C,Louisville,Jr.,2013,Gorgui Dieng
24,25,1.0,6-11,238.0,PF,Duke,Sr.,2013,Mason Plumlee
25,26,5.0,6-9,217.0,SF/PF,ASVEL Villeubanne,1993,2013,Livio Charles
26,27,1.0,6-6,197.0,SG,California,Jr.,2013,Allen Crabbe
27,28,7.0,6-3,180.0,PG/SG,Virginia Tech,Sr.,2013,Erick Green
28,29,,6-0,190.0,PG,Murray St.,Sr.,2013,Isaiah Canaan
29,30,,7-2,238.0,C,Cholet,1992,2013,Rudy Gobert
30,31,3.0,6-7,200.0,SG/SF,North Carolina,Jr.,2013,Reggie Bullock
31,32,1.0,6-5,191.0,SG/SF,San Diego St.,Jr.,2013,Jamaal Franklin
32,33,-1.0,6-6,211.0,SG,USA,Jr.,2013,Glen Rice
33,34,-7.0,6-6,197.0,SG,Providence,Fr.,2013,Ricardo Ledo
34,35,1.0,6-5,189.0,PG/SG,NC State,Jr.,2013,Lorenzo Brown
35,36,1.0,7-0,222.0,C,Kansas,Sr.,2013,Jeff Withey
36,37,1.0,6-9,209.0,SF/PF,NC State,Jr.,2013,Leslie Leslie
37,38,1.0,6-7,200.0,SG/SF,Long Beach State,Sr.,2013,James Ennis
38,39,1.0,6-7,209.0,SF,Tennessee State,Sr.,2013,Robert Covington
39,40,1.0,6-8,221.0,SF/PF,Syracuse,Sr.,2013,James Southerland
40,41,1.0,5-10,176.0,PG,Baylor,Sr.,2013,Pierre Jackson
41,42,1.0,6-2,180.0,PG,Texas,So.,2013,Myck Kabongo
42,43,1.0,6-10,240.0,PF,Florida,Sr.,2013,Erik Murphy
43,44,1.0,6-10,242.0,PF/C,Miami,Sr.,2013,Kenny Kadji
44,45,1.0,6-8,236.0,PF/C,Minnesota,Sr.,2013,Trevor Mbakwe
45,46,1.0,6-7,200.0,SF,Minnesota,Sr.,2013,Rodney Williams
46,47,1.0,6-9,235.0,PF/C,Valencia,1991,2013,Bojan Dubljevic
47,48,1.0,6-6,220.0,SF/PF,Ohio St.,Jr.,2013,De Thomas
48,49,1.0,6-11,230.0,PF,Duke,Sr.,2013,Ryan Kelly
49,50,1.0,6-5,189.0,SG,Kentucky,Fr.,2013,Archie Goodwin
50,51,1.0,6-10,232.0,PF,Arizona,Fr.,2013,Grant Jerrett
51,52,1.0,6-1,190.0,PG,Detroit,Jr.,2013,Ray Callum
52,53,1.0,6-6,190.0,SG,Barcelona Regal,1993,2013,Alex Abrines
53,54,1.0,6-11,240.0,C,USC,Jr.,2013,Dewayne Dedmon
54,55,1.0,6-6,203.0,SG/SF,Arizona St.,Sr.,2013,Carrick Felix
55,56,1.0,6-8,226.0,SF,Ventspils,1992,2013,Janis Timma
56,57,1.0,6-1,181.0,PG,Louisville,Sr.,2013,Peyton Siva
57,58,1.0,6-3,190.0,PG/SG,Lietuvos Rytas,1991,2013,Nemanja Nedovic
58,59,1.0,6-7,206.0,SF/PF,Colorado,Jr.,2013,Andre Roberson
59,60,1.0,6-7,226.0,SF,Arizona,Sr.,2013,Solomon Hill
60,61,1.0,6-6,232.0,SF,Memphis,So.,2013,Adonis Thomas
61,62,1.0,6-9,240.0,PF,Illinois State,Sr.,2013,Jackie Carmichael
62,63,1.0,6-5,197.0,PG/SG,Marquette,Jr.,2013,Vander Blue
63,64,1.0,6-10,219.0,PF/C,TBB Trier,1991,2013,Vitalis Chikoko
64,65,1.0,6-9,215.0,SF,Oklahoma,Jr.,2013,Amath Mbaye
65,66,1.0,6-4,200.0,SG,Illinois,Sr.,2013,Brandon Paul
66,67,1.0,6-5,188.0,SG/SF,Memphis,Sr.,2013,Stephens Stephens
67,68,1.0,7-0,263.0,PF/C,Colorado St.,Sr.,2013,Colton Iverson
68,69,1.0,6-7,250.0,PF/C,NC State,Sr.,2013,Richard Howell
69,70,1.0,6-11,230.0,PF/C,Bucknell,Sr.,2013,Mike Muscala
70,71,1.0,6-8,200.0,SF,BC Donetsk,1991,2013,Oleksandr Lypovyy
71,72,1.0,6-5,200.0,SG,Florida St.,Sr.,2013,Michael Snaer
72,73,1.0,6-3,179.0,SG,Arkansas,So.,2013,Young Young
73,74,1.0,6-10,234.0,PF,Unicaja Malaga,1991,2013,Augusto Lima
74,75,1.0,6-10,242.0,PF,BYU,Sr.,2013,Brandon Davies
75,76,1.0,6-6,210.0,SG/SF,Chalon,1991,2013,Jordan Aboudou
76,77,1.0,6-7,230.0,PF,Oregon,Sr.,2013,Arsalan Kazemi
77,78,1.0,6-2,179.0,PG,Lagun Aro GBC,1992,2013,Raul Neto
78,79,1.0,6-2,180.0,PG/SG,Duke,Sr.,2013,Seth Curry
79,80,1.0,6-4,205.0,SG,Kansas State,Sr.,2013,Rodney Gruder
80,81,1.0,6-9,255.0,PF/C,Missouri,Sr.,2013,Alex Oriakhi
81,82,1.0,6-1,181.0,PG,Montana,Sr.,2013,Will Cherry
82,83,1.0,6-9,230.0,PF,Ratiopharm Ulm,1992,2013,Daniel Theis
83,84,1.0,6-11,240.0,PF/C,Barcelona Regal,1992,2013,Marko Todorovic
84,85,1.0,6-9,200.0,SF/PF,St. Joseph's,Jr.,2013,Aiken Aiken
85,86,1.0,6-7,240.0,SF/PF,Gonzaga,Sr.,2013,Elias Harris
86,87,1.0,5-11,177.0,PG,Missouri,Jr.,2013,Phil Pressey
87,88,1.0,6-8,242.0,SF/PF,Flamengo,1992,2013,Alexandre Paranhos
88,89,1.0,6-9,270.0,PF/C,Michigan St.,Sr.,2013,Derrick Nix
89,90,1.0,6-6,220.0,SG/SF,Arizona,Sr.,2013,Kevin Parrom
90,91,1.0,6-9,245.0,PF,Notre Dame,Sr.,2013,Jack Cooley
91,92,1.0,6-11,240.0,PF/C,KK Partizan,1991,2013,Joffrey Lauvergne
92,93,1.0,6-5,203.0,SG,Miami,Sr.,2013,Durand Scott
93,94,1.0,6-9,230.0,SF,Indiana,Sr.,2013,Christian Watford
94,95,1.0,6-2,210.0,PG/SG,Syracuse,Sr.,2013,Brandon Triche
95,96,1.0,6-2,195.0,PG/SG,Kansas,Sr.,2013,Elijah Johnson
96,97,1.0,6-2,190.0,PG/SG,Florida,Sr.,2013,Kenny Boynton
97,98,1.0,6-8,250.0,PF/C,Clemson,Sr.,2013,Devin Booker
98,99,1.0,6-7,225.0,SF/PF,Murray St.,Sr.,2013,Ed Daniel
99,100,1.0,6-7,240.0,PF,Arkansas,Jr.,2013,Marshawn Powell
0,1,101.0,7-0,250.0,C,Kansas,Fr.,2014,Joel Embiid
1,2,100.0,6-9,240.0,SF/PF,Duke,Fr.,2014,Jabari Parker
2,3,99.0,6-8,200.0,SF,Kansas,Fr.,2014,Andrew Wiggins
3,4,98.0,6-3,227.0,PG,Oklahoma State,So.,2014,Marcus Smart
4,5,97.0,6-6,196.0,PG/SG,,1995,2014,Dante Exum
5,6,96.0,6-9,250.0,PF,Kentucky,Fr.,2014,Julius Randle
6,7,95.0,6-9,247.0,PF,Indiana,Fr.,2014,Noah Vonleh
7,8,94.0,6-6,180.0,PG/SG,UCLA,Fr.,2014,Zach Vine
8,9,93.0,6-4,185.0,PG,Louisiana Lafayette,Jr.,2014,Elfrid Payton
9,10,92.0,6-7,220.0,SF,Creighton,Sr.,2014,Doug Dermott
10,11,91.0,6-9,220.0,PF,Arizona,Fr.,2014,Aaron Gordon
11,12,90.0,6-4,205.0,SG,Michigan St.,So.,2014,Gary Harris
12,13,89.0,6-8,208.0,SF,Duke,So.,2014,Rodney Hood
13,14,88.0,6-6,207.0,SG,Michigan,So.,2014,Nik Stauskas
14,15,87.0,6-7,211.0,SF,Michigan,So.,2014,Glenn Robinson
15,16,86.0,6-8,220.0,SF,NC State,So.,2014,Warren Warren
16,17,85.0,6-9,230.0,SF,UCLA,So.,2014,Kyle Anderson
17,18,84.0,6-10,225.0,SF/PF,Anadolu Efes,1994,2014,Dario Saric
18,19,83.0,6-4,186.0,PG/SG,Missouri,Jr.,2014,Jordan Clarkson
19,20,82.0,6-0,175.0,PG,UConn,Sr.,2014,Shabazz Napier
20,21,81.0,6-2,180.0,PG,Syracuse,Fr.,2014,Tyler Ennis
21,22,80.0,6-6,215.0,SG,Kentucky,Fr.,2014,James Young
22,23,79.0,6-11,280.0,C,Cedevita Zagreb,1994,2014,Jusuf Nurkic
23,24,78.0,6-8,214.0,SF,Syracuse,So.,2014,Jerami Grant
24,25,77.0,6-7,210.0,SF/PF,Wichita State,Sr.,2014,Cleanthony Early
25,26,76.0,6-5,201.0,SG,Washington,Sr.,2014,Wilcox Wilcox
26,27,75.0,6-10,240.0,PF,Michigan St.,Sr.,2014,Adreian Payne
27,28,74.0,6-5,209.0,SG,UCLA,So.,2014,Jordan Adams
28,29,73.0,6-6,205.0,SG,KK Partizan,1992,2014,Bogdan Bogdanovic
29,30,72.0,6-6,205.0,PG/SG,Colorado,Jr.,2014,Spencer Dinwiddie
30,31,71.0,6-6,202.0,PG,Mega Vizura,1994,2014,Vasilje Micic
31,32,70.0,6-6,196.0,SF,Clemson,Jr.,2014,Mc Daniels
32,33,69.0,6-8,260.0,PF,Tennessee,Jr.,2014,Jarnell Stokes
33,34,68.0,6-8,257.0,PF/C,LSU,Jr.,2014,Johnny Bryant
34,35,67.0,6-4,185.0,SG,Oklahoma State,Sr.,2014,Markel Brown
35,36,66.0,6-5,228.0,SG,USA,Jr.,2014,Hairston Hairston
36,37,65.0,6-11,222.0,PF/C,Chalon,1994,2014,Clint Capela
37,38,64.0,6-8,195.0,SF,UConn,Jr.,2014,De Daniels
38,39,63.0,6-3,198.0,SG,Arizona,Jr.,2014,Nick Johnson
39,40,62.0,6-11,235.0,PF,Stanford,Sr.,2014,Dwight Powell
40,41,61.0,6-6,205.0,SF,Delaware 87ers,1992,2014,Thanasis Antetokounmpo
41,42,60.0,6-3,186.0,PG,Xavier,So.,2014,Semaj Christon
42,43,59.0,6-9,209.0,PF,UNLV,Jr.,2014,Khem Birch
43,44,58.0,6-9,240.0,SF/PF,Roanne,1995,2014,Damien Inglis
44,45,57.0,6-10,266.0,C,Michigan,So.,2014,Mitch Gary
45,46,56.0,6-4,215.0,SG,Missouri,Jr.,2014,Jabari Brown
46,47,55.0,6-9,230.0,PF,North Carolina,Jr.,2014,James Adoo
47,48,54.0,6-10,252.0,PF,New Mexico,Sr.,2014,Cameron Bairstow
48,49,53.0,6-1,193.0,PG/SG,Nevada,Sr.,2014,Deonte Burton
49,50,52.0,6-8,218.0,SF,Syracuse,Sr.,2014,Fair Fair
50,51,51.0,6-9,220.0,PF,Baylor,Sr.,2014,Cory Jefferson
51,52,50.0,7-1,231.0,PF/C,Wisconsin Green Bay,Sr.,2014,Alec Brown
52,53,49.0,6-7,230.0,SG/SF,Olimpia Milano,1992,2014,Alessandro Gentile
53,54,48.0,7-0,245.0,C,Avtodor,1994,2014,Artem Klimenko
54,55,47.0,6-8,195.0,SG,Mega Vizura,1993,2014,Nemanja Dangubic
55,56,46.0,6-8,215.0,PF,St. Joseph's,Sr.,2014,Ronald Roberts
56,57,45.0,6-4,200.0,PG/SG,Iowa St.,Sr.,2014,De Kane
57,58,44.0,6-9,260.0,PF/C,Kansas,Sr.,2014,Tarik Black
58,59,43.0,6-10,247.0,PF/C,Florida,Sr.,2014,Patric Young
59,60,42.0,6-9,250.0,PF/C,VCU,Sr.,2014,Juvonte Reddic
60,61,41.0,6-11,255.0,PF/C,Mega Vizura,1995,2014,Nikola Jokic
61,62,40.0,7-3,260.0,C,Gran Canaria,1992,2014,Walter Tavares
62,63,39.0,6-6,210.0,SG/SF,Seton Hall,Sr.,2014,Fuquan Edwin
63,64,38.0,6-5,205.0,SG,Duke,Sr.,2014,Andre Dawkins
64,65,37.0,6-9,210.0,SF,Reggio Emilia,1993,2014,Ojars Silins
65,66,36.0,6-4,220.0,SG,Cincinnati,Sr.,2014,Sean Kilpatrick
66,67,35.0,5-11,180.0,PG,Arizona St.,So.,2014,Jahii Carson
67,68,34.0,6-3,183.0,PG,New Mexico,Sr.,2014,Kendall Williams
68,69,33.0,6-6,192.0,SG,Iowa,Sr.,2014,Roy Devyn
69,70,32.0,6-1,180.0,PG/SG,Michigan St.,Sr.,2014,Keith Appling
70,71,31.0,6-3,187.0,PG/SG,San Diego St.,Sr.,2014,Xavier Thames
71,72,30.0,6-10,250.0,PF/C,Flamengo,1992,2014,Cristiano Felicio
72,73,29.0,7-2,248.0,C,Arizona St.,Sr.,2014,Jordan Bachynski
73,74,28.0,6-5,200.0,SG,Florida,Sr.,2014,Casey Prather
74,75,27.0,6-7,197.0,SG/SF,Strasbourg,1992,2014,Axel Toupane
75,76,26.0,7-2,280.0,C,Cajasol Sevilla,1992,2014,Ondrej Balvin
76,77,25.0,6-8,240.0,SF,Ohio St.,Jr.,2014,La Ross
77,78,24.0,6-2,190.0,PG,California,Sr.,2014,Justin Cobbs
78,79,23.0,6-1,160.0,PG/SG,Louisville,Sr.,2014,Russ Smith
79,80,22.0,6-10,225.0,PF/C,Oregon St.,Jr.,2014,Eric Moreland
80,81,21.0,6-9,230.0,PF,Virginia,Sr.,2014,Akil Mitchell
81,82,20.0,6-5,180.0,SG,Tennessee,Sr.,2014,Jordan Rae
82,83,19.0,6-3,203.0,SG,Memphis,Sr.,2014,Geron Johnson
83,84,18.0,6-5,225.0,SG/SF,Pittsburgh,Sr.,2014,Lamar Patterson
84,85,17.0,6-6,220.0,SF/PF,Iowa St.,Sr.,2014,Melvin Ejim
85,86,16.0,6-8,245.0,PF,Towson,Sr.,2014,Jerrelle Benimon
86,87,15.0,6-9,202.0,PF,UNLV,Jr.,2014,Roscoe Smith
87,88,14.0,6-9,235.0,PF,Pepperdine,Sr.,2014,Brendan Lane
88,89,13.0,6-11,225.0,PF/C,California,Sr.,2014,Richard Solomon
89,90,12.0,6-3,170.0,PG,Florida,Sr.,2014,Scottie Wilbekin
90,91,11.0,6-6,210.0,SF,Oklahoma,Sr.,2014,Cameron Clark
91,92,10.0,6-8,230.0,PF,Pittsburgh,Sr.,2014,Talib Zanna
92,93,9.0,6-7,225.0,SF,Dayton,Sr.,2014,Devin Oliver
93,94,8.0,7-5,360.0,C,New Mexico St.,So.,2014,Sim Bhullar
94,95,7.0,6-0,170.0,PG,Memphis,Sr.,2014,Joe Jackson
95,96,6.0,6-3,195.0,PG/SG,Oregon St.,Sr.,2014,Roberto Nelson
96,97,5.0,6-2,192.0,PG,Ohio St.,Sr.,2014,Aaron Craft
97,98,4.0,6-0,165.0,PG,Providence,Sr.,2014,Bryce Cotton
98,99,3.0,6-10,252.0,C,New Mexico,Jr.,2014,Alex Kirk
99,100,2.0,6-7,220.0,SF,Marquette,Sr.,2014,Jamil Wilson
0,1,1.0,7-0,250.0,C,Kentucky,Fr.,2015,Karl Towns
1,2,1.0,6-5,200.0,PG,Guangdong,1996,2015,Emmanuel Mudiay
2,3,1.0,6-4,195.0,PG/SG,Ohio St.,Fr.,2015,Angelo Russell
3,4,1.0,6-11,270.0,C,Duke,Fr.,2015,Jahlil Okafor
4,5,1.0,6-8,215.0,SG/SF,FC Barcelona,1995,2015,Mario Hezonja
5,6,1.0,6-6,222.0,SG/SF,Duke,Fr.,2015,Justise Winslow
6,7,1.0,7-1,230.0,PF,Cajasol Sevilla,1995,2015,Kristaps Porzingis
7,8,1.0,6-6,242.0,SF,Arizona,Fr.,2015,Stanley Johnson
8,9,1.0,6-10,240.0,PF,Kentucky,Fr.,2015,Trey Lyles
9,10,1.0,6-2,185.0,PG,Murray St.,So.,2015,Cameron Payne
10,11,1.0,6-11,240.0,C,Texas,Fr.,2015,Myles Turner
11,12,2.0,6-6,205.0,SG,Kentucky,Fr.,2015,Devin Booker
12,13,,6-9,220.0,SF,Wisconsin,Jr.,2015,Sam Dekker
13,14,1.0,7-0,242.0,C,Kentucky,Jr.,2015,Willie Stein
14,15,1.0,6-11,245.0,PF,Arkansas,So.,2015,Bobby Portis
15,16,1.0,6-7,205.0,SF,Kansas,Fr.,2015,Kelly Oubre
16,17,3.0,6-2,190.0,PG,Louisville,So.,2015,Terry Rozier
17,18,,6-8,255.0,PF,Louisville,Jr.,2015,Montrezl Harrell
18,19,,6-5,200.0,SG,UNLV,Fr.,2015,Rashad Vaughn
19,20,2.0,6-4,200.0,PG,Notre Dame,Sr.,2015,Jerian Grant
20,21,2.0,6-6,230.0,SG/SF,Virginia,Jr.,2015,Justin Anderson
21,22,2.0,7-1,230.0,C,Wisconsin,Sr.,2015,Frank Kaminsky
22,23,-2.0,6-5,180.0,PG/SG,Utah,Sr.,2015,Delon Wright
23,24,1.0,6-9,222.0,PF,UCLA,Fr.,2015,Kevon Looney
24,25,2.0,6-9,200.0,PF,Syracuse,Fr.,2015,Chris Cullough
25,26,,6-7,210.0,SF,Arizona,So.,2015,Rondae Jefferson
26,27,1.0,6-4,215.0,SG,UCLA,Sr.,2015,Norman Powell
27,28,2.0,6-1,185.0,PG,Duke,Fr.,2015,Tyus Jones
28,29,2.0,6-8,240.0,PF,LSU,So.,2015,Jordan Mickey
29,30,6.0,6-9,245.0,PF/C,Syracuse,Sr.,2015,Rakeem Christmas
30,31,-2.0,6-11,250.0,PF/C,Cajasol Sevilla,1994,2015,Guillermo Hernangomez
31,32,,6-9,245.0,PF,Bowling Green,Sr.,2015,Richaun Holmes
32,33,,6-6,185.0,SG,Georgia St.,Jr.,2015,Hunter Hunter
33,34,,6-4,185.0,PG/SG,Boston College,Jr.,2015,Olivier Hanlan
34,35,,6-9,240.0,PF,LSU,So.,2015,Jarell Martin
35,36,1.0,6-8,215.0,SF,Anadolu Efes,1995,2015,Cedi Osman
36,37,1.0,6-8,240.0,PF/C,Kansas,Fr.,2015,Cliff Alexander
37,38,1.0,6-10,215.0,PF,UNLV,So.,2015,Christian Wood
38,39,1.0,6-6,210.0,SF,Nebraska,Jr.,2015,Terran Petteway
39,40,1.0,6-9,245.0,PF,Texas,Sr.,2015,Jonathan Holmes
40,41,1.0,7-0,260.0,C,Kentucky,So.,2015,Dakari Johnson
41,42,1.0,6-7,195.0,SG/SF,JUCO,So.,2015,Luis Montero
42,43,1.0,7-0,225.0,PF/C,KK Partizan,1994,2015,Nikola Milutinov
43,44,1.0,6-2,185.0,PG/SG,Oregon,Sr.,2015,Joseph Young
44,45,1.0,6-7,210.0,SG/SF,Stanford,Sr.,2015,Anthony Brown
45,46,1.0,6-1,170.0,PG,Michigan St.,Sr.,2015,Travis Trice
46,47,1.0,6-6,195.0,SG/SF,North Carolina,Jr.,2015,Tokoto Tokoto
47,48,1.0,6-8,230.0,PF,Arizona,Jr.,2015,Brandon Ashley
48,49,1.0,6-6,200.0,SG,Tennessee,Sr.,2015,Josh Richardson
49,50,1.0,6-11,250.0,C,Nanterre,1994,2015,Mouhammadou Jaiteh
50,51,1.0,6-6,215.0,PG/SG,Kentucky,So.,2015,Andrew Harrison
51,52,1.0,6-8,210.0,SF/PF,UTEP,So.,2015,Vince Hunter
52,53,1.0,6-5,215.0,SG,Notre Dame,Sr.,2015,Pat Connaughton
53,54,1.0,6-7,230.0,SF/PF,Michigan St.,Sr.,2015,Branden Dawson
54,55,1.0,6-9,220.0,SF/PF,Iowa,Sr.,2015,Aaron White
55,56,1.0,6-10,255.0,C,Zalgiris Kaunas,1993,2015,Arturas Gudaitis
56,57,1.0,6-5,200.0,SG,Florida,Jr.,2015,Michael Frazier
57,58,1.0,6-2,180.0,PG/SG,Stanford,Sr.,2015,Chasson Randle
58,59,1.0,6-9,230.0,PF,Wyoming,Sr.,2015,Larry Nance
59,60,1.0,7-0,260.0,C,Washington,So.,2015,Robert Upshaw
60,61,1.0,6-6,205.0,SG,Iowa St.,Sr.,2015,Bryce Jones
61,62,1.0,5-11,170.0,PG,UConn,Sr.,2015,Ryan Boatright
62,63,1.0,6-0,190.0,PG,West Virginia,Sr.,2015,Juwan Staten
63,64,1.0,6-6,220.0,SG,VCU,Sr.,2015,Treveon Graham
64,65,1.0,6-8,200.0,SF/PF,Crvena Zvezda,1993,2015,Luka Mitrovic
65,66,1.0,6-2,185.0,PG,Gonzaga,Sr.,2015,Kevin Pangos
66,67,1.0,6-7,215.0,PF,Murray St.,Sr.,2015,Jarvis Williams
67,68,1.0,6-8,232.0,SF/PF,Oklahoma State,Sr.,2015,Le Nash
68,69,1.0,6-5,205.0,SF,Arkansas,Jr.,2015,Michael Qualls
